                  omega_v                        N
                  1.27093                       97
                  1.27293                       97
                  1.27493                       97
                  1.27694                       97
                  1.27894                       97
                  1.28094                       97
                  1.28294                       97
                  1.28494                       97
                  1.28695                       97
                  1.28895                       97
                  1.29095                       97
                  1.29295                       97
                  1.29495                       97
                  1.29695                       97
                  1.29896                       97
                  1.30096                       97
                  1.30296                       97
                  1.30496                       97
                  1.30696                       97
                  1.30896                       97
                  1.31097                       97
                  1.31297                       97
                  1.31497                       97
                  1.31697                       97
                  1.31897                       97
                  1.32097                       97
                  1.32298                       97
                  1.32498                       97
                  1.32698                       97
                  1.32898                       97
                  1.33098                       97
                  1.33299                       97
                  1.33499                       97
                  1.33699                       97
                  1.33899                       97
                  1.34099                       97
                  1.34299                       97
                    1.345                       97
                    1.347                       97
                    1.349                       97
                    1.351                       97
                    1.353                       97
                    1.355                       97
                  1.35701                       97
                  1.35901                       97
                  1.36101                       97
                  1.36301                       97
                  1.36501                       97
                  1.36701                       97
                  1.36902                       97
                  1.37102                       97
                  1.37302                       97
                  1.37502                       97
                  1.37702                       97
                  1.37903                       97
                  1.38103                       97
                  1.38303                       97
                  1.38503                       97
                  1.38703                       97
                  1.38903                       97
                  1.39104                       97
                  1.39304                       97
                  1.39504                       97
                  1.39704                       97
                  1.39904                       97
                  1.40104                       97
                  1.40305                       97
                  1.40505                       97
                  1.40705                       97
                  1.40905                       97
                  1.41105                       97
                  1.41305                       97
                  1.41506                       97
                  1.41706                       97
                  1.41906                       97
                  1.42106                       97
                  1.42306                       97
                  1.42507                       97
                  1.42707                       97
                  1.42907                       97
                  1.43107                       97
                  1.43307                       97
                  1.43507                       97
                  1.43708                       97
                  1.43908                       97
                  1.44108                       97
                  1.44308                       97
                  1.44508                       97
                  1.44708                       97
                  1.44909                       97
                  1.45109                       97
                  1.45309                       97
                  1.45509                       97
                  1.45709                       97
                  1.45909                       97
                   1.4611                       97
                   1.4631                       97
                   1.4651                       97
                   1.4671                       97
                   1.4691                       97
                  1.47111                       97
                  1.47311                       97
                  1.47511                       97
                  1.47711                       97
                  1.47911                       97
                  1.48111                       97
                  1.48312                       97
                  1.48512                       97
                  1.48712                       97
                  1.48912                       97
                  1.49112                       97
                  1.49312                       97
                  1.49513                       97
                  1.49713                       97
                  1.49913                       97
                  1.50113                       97
                  1.50313                       97
                  1.50513                       97
                  1.50714                       97
                  1.50914                       97
                  1.51114                       97
                  1.51314                       97
                  1.51514                       97
                  1.51715                       97
                  1.51915                       97
                  1.52115                       97
                  1.52315                       97
                  1.52515                       97
                  1.52715                       97
                  1.52916                       97
                  1.53116                       97
                  1.53316                       97
                  1.53516                       97
                  1.53716                       97
                  1.53916                       97
                  1.54117                       97
                  1.54317                       97
                  1.54517                       97
                  1.54717                       97
                  1.54917                       97
                  1.55117                       97
                  1.55318                       97
                  1.55518                       97
                  1.55718                       97
                  1.55918                       97
                  1.56118                       97
                  1.56319                       97
                  1.56519                       97
                  1.56719                       97
                  1.56919                       97
                  1.57119                       97
                  1.57319                       97
                   1.5752                       97
                   1.5772                       97
                   1.5792                       97
                   1.5812                       97
                   1.5832                       97
                   1.5852                       97
                  1.58721                       97
                  1.58921                       97
                  1.59121                       97
                  1.59321                       97
                  1.59521                       97
                  1.59721                       97
                  1.59922                       97
                  1.60122                       97
                  1.60322                       97
                  1.60522                       97
                  1.60722                       97
                  1.60923                       97
                  1.61123                       97
                  1.61323                       97
                  1.61523                       97
                  1.61723                       97
                  1.61923                       97
                  1.62124                       97
                  1.62324                       97
                  1.62524                       97
                  1.62724                       97
                  1.62924                       97
                  1.63124                       97
                  1.63325                       97
                  1.63525                       97
                  1.63725                       97
